# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05469e-05 to 8.92137 h/Mpc,
# number of wavenumbers equal to 2527
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from qthe transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_fld                 13:t_ur                  14:t_tot              
       2.094705033545e-03      -1.166344098327e-01      -3.752466292132e+01      -3.753309510565e+01      -7.443087132455e-01      -1.221267176522e-01      -1.222364057647e+01       4.649558866579e-01       4.649570001693e-01      -4.660629773679e-03      -3.378510529065e-07      -4.631646197588e-08      -4.660187344453e-03      -1.546471663676e-06 
       2.104373752675e-03      -1.142903340592e-01      -3.786359657137e+01      -3.787210539201e+01      -7.510310713921e-01      -1.197521840426e-01      -1.233404754526e+01       4.648541620355e-01       4.648552659726e-01      -4.696168128333e-03      -3.406487958154e-07      -4.716717582301e-08      -4.696456809921e-03      -1.558478133416e-06 
       2.114087100584e-03      -1.123668613567e-01      -3.820554144456e+01      -3.821412768721e+01      -7.578131561468e-01      -1.177609365266e-01      -1.244543548248e+01       4.647518534492e-01       4.647529451333e-01      -4.731947902831e-03      -3.434706004787e-07      -4.803345257670e-08      -4.732974436342e-03      -1.570568805860e-06 
       2.123845283271e-03      -1.108737473936e-01      -3.855052338220e+01      -3.855918772662e+01      -7.646554740205e-01      -1.161612932978e-01      -1.255781277312e+01       4.646489546179e-01       4.646500314224e-01      -4.768011160987e-03      -3.463138773139e-07      -4.891557500029e-08      -4.769779911330e-03      -1.582756588248e-06 
       2.133648507682e-03      -1.098170537086e-01      -3.889856865746e+01      -3.890731200037e+01      -7.715585521656e-01      -1.149587730069e-01      -1.267118803598e+01       4.645454653899e-01       4.645465247621e-01      -4.804400363637e-03      -3.491840905445e-07      -4.981383172381e-08      -4.806914534178e-03      -1.595055696216e-06 
       2.143496981722e-03      -1.091973207398e-01      -3.924970372116e+01      -3.925852685113e+01      -7.785229117789e-01      -1.141532108082e-01      -1.278556985496e+01       4.644413816756e-01       4.644424211719e-01      -4.841160735132e-03      -3.520783585803e-07      -5.072851616457e-08      -4.844421017744e-03      -1.607479998226e-06 
       2.153390914252e-03      -1.090156100508e-01      -3.960395523564e+01      -3.961285900028e+01      -7.855490847375e-01      -1.137443878762e-01      -1.290096693141e+01       4.643367010962e-01       4.643377183787e-01      -4.878337980426e-03      -3.549983915873e-07      -5.165992715326e-08      -4.882342721599e-03      -1.620044121587e-06 
       2.163330515099e-03      -1.092650392362e-01      -3.996134999059e+01      -3.997033524729e+01      -7.926375998282e-01      -1.137251514125e-01      -1.301738799063e+01       4.642314195474e-01       4.642324124278e-01      -4.915978505218e-03      -3.579444217160e-07      -5.260836886943e-08      -4.920723640658e-03      -1.632762723530e-06 
       2.173315995060e-03      -1.099386915652e-01      -4.032191537711e+01      -4.033098294354e+01      -7.997890019920e-01      -1.140879279099e-01      -1.313484194359e+01       4.641255369759e-01       4.641265034136e-01      -4.954130179060e-03      -3.609148943183e-07      -5.357415124323e-08      -4.959608719190e-03      -1.645650638071e-06 
       2.183347565902e-03      -1.110240672036e-01      -4.068567841205e+01      -4.069482923490e+01      -8.070038262612e-01      -1.148196483621e-01      -1.325333762170e+01       4.640190478873e-01       4.640199860175e-01      -4.992839449515e-03      -3.639138088615e-07      -5.455758938805e-08      -4.999041817618e-03      -1.658722992113e-06 
