# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.05469e-05 to 8.92137 h/Mpc,
# number of wavenumbers equal to 2527
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_fld                 13:t_ur                  14:t_tot              
       1.482937598026e-03      -1.007051770242e+00      -2.254841535737e+00      -2.255111864791e+00      -6.110712461302e-02      -9.962480541813e-01      -2.243638425291e+00       5.897471449074e-01       5.895143450003e-01      -9.779131074660e-04      -2.391302400227e-07      -5.867063212743e-10      -9.887389361337e-04      -4.249891370779e-06 
       1.489782526975e-03      -1.005994374785e+00      -2.275431440980e+00      -2.275706559467e+00      -6.166393273736e-02      -9.951722762921e-01      -2.264095165351e+00       5.896589180489e-01       5.894333037633e-01      -9.893899014468e-04      -2.420797092168e-07      -5.975361415397e-10      -1.000286633786e-03      -4.299691713540e-06 
       1.496659050680e-03      -1.004849149721e+00      -2.296207220495e+00      -2.296487207571e+00      -6.222575154343e-02      -9.940113390879e-01      -2.284736360067e+00       5.895701574147e-01       5.893516843212e-01      -1.000946246840e-03      -2.450389765184e-07      -6.085652559545e-10      -1.011912881935e-03      -4.349832978488e-06 
       1.503567314976e-03      -1.003616363629e+00      -2.317170508415e+00      -2.317455452643e+00      -6.279262518312e-02      -9.927651845504e-01      -2.305563641281e+00       5.894808608132e-01       5.892694833445e-01      -1.012579488431e-03      -2.480406057133e-07      -6.197973161035e-10      -1.023616985600e-03      -4.400312266881e-06 
       1.510507466371e-03      -1.002295537576e+00      -2.338322964428e+00      -2.338612949495e+00      -6.336459794114e-02      -9.914337821948e-01      -2.326578652860e+00       5.893910254982e-01       5.891866966919e-01      -1.024291086209e-03      -2.510476034124e-07      -6.312360398100e-10      -1.035398215396e-03      -4.451126266377e-06 
       1.517479652050e-03      -1.000886991292e+00      -2.359666269134e+00      -2.359961385475e+00      -6.394171526460e-02      -9.900171507289e-01      -2.347783070778e+00       5.893006533315e-01       5.891033251247e-01      -1.036078142302e-03      -2.540965156951e-07      -6.428852171232e-10      -1.047255822187e-03      -4.502271965382e-06 
       1.524484019876e-03      -9.993903409057e-01      -2.381202098193e+00      -2.381502432671e+00      -6.452402194251e-02      -9.885153476503e-01      -2.369178556158e+00       5.892097386884e-01       5.890193616206e-01      -1.047941873969e-03      -2.571520384296e-07      -6.547486994337e-10      -1.059189019664e-03      -4.553745623935e-06 
       1.531520718394e-03      -9.978059312954e-01      -2.402932159998e+00      -2.403237805699e+00      -6.511156402903e-02      -9.869284705853e-01      -2.390766812299e+00       5.891182830426e-01       5.889348064783e-01      -1.059879997572e-03      -2.602395403437e-07      -6.668304158955e-10      -1.071197001657e-03      -4.605543950221e-06 
       1.538589896837e-03      -9.961337799017e-01      -2.424858157517e+00      -2.425169209982e+00      -6.570438731217e-02      -9.852566663833e-01      -2.412549533393e+00       5.890262819365e-01       5.888496539503e-01      -1.071892030423e-03      -2.633525051171e-07      -6.791343606997e-10      -1.083278929250e-03      -4.657663248833e-06 
       1.545691705125e-03      -9.943738341062e-01      -2.446981843927e+00      -2.447298393891e+00      -6.630253870433e-02      -9.835001146551e-01      -2.434528457323e+00       5.889337379625e-01       5.887639053024e-01      -1.083978137668e-03      -2.664719252007e-07      -6.916646087779e-10      -1.095433939886e-03      -4.710099490485e-06 
       1.552826293871e-03      -9.925264800900e-01      -2.469304945066e+00      -2.469627089819e+00      -6.690606471584e-02      -9.816590519288e-01      -2.456705305267e+00       5.888406462676e-01       5.886775545987e-01      -1.096135343600e-03      -2.696355784784e-07      -7.044253005091e-10      -1.107661140144e-03      -4.762849393625e-06 
       1.559993814383e-03      -9.905919700473e-01      -2.491829226591e+00      -2.492157065586e+00      -6.751501280265e-02      -9.797337542935e-01      -2.479081834062e+00       5.887470067263e-01       5.885906002723e-01      -1.108363862384e-03      -2.728208328276e-07      -7.174206575355e-10      -1.119959613117e-03      -4.815908400024e-06 
       1.567194418665e-03      -9.885701928452e-01      -2.514556465047e+00      -2.514890094235e+00      -6.812943053990e-02      -9.777245467014e-01      -2.501659805987e+00       5.886528170807e-01       5.885030388640e-01      -1.120663671228e-03      -2.760126381447e-07      -7.306549756342e-10      -1.132328413934e-03      -4.869272470154e-06 
       1.574428259427e-03      -9.864618164463e-01      -2.537488452941e+00      -2.537827972908e+00      -6.874936621306e-02      -9.756318014934e-01      -2.524441007551e+00       5.885580771997e-01       5.884148689876e-01      -1.133032220568e-03      -2.792366340277e-07      -7.441326312019e-10      -1.144766572173e-03      -4.922937414705e-06 
       1.581695490081e-03      -9.842670958118e-01      -2.560626990395e+00      -2.560972505802e+00      -6.937486820560e-02      -9.734559402919e-01      -2.547427231637e+00       5.884627848039e-01       5.883260870551e-01      -1.145469456813e-03      -2.824759777612e-07      -7.578580781602e-10      -1.157273091912e-03      -4.976898728972e-06 
       1.588996264748e-03      -9.819865212891e-01      -2.583973891175e+00      -2.584325510760e+00      -7.000598531484e-02      -9.711974350165e-01      -2.570620285205e+00       5.883669374965e-01       5.882366895264e-01      -1.157973072181e-03      -2.857545539213e-07      -7.718358506930e-10      -1.169846950956e-03      -5.031152456788e-06 
