# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.02819e-05 to 5.00333 h/Mpc,
# number of wavenumbers equal to 1940
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.520797979438e-05      -3.337199352793e-04      -2.503192196564e-04      -2.503192223908e-04      -3.337194146827e-04      -2.505794875885e-04       6.014628886063e-01       5.995328338752e-01 
       1.529577641986e-05      -3.375837665091e-04      -2.532177748033e-04      -2.532177776015e-04      -3.375832337870e-04      -2.534810550834e-04       6.014628710972e-01       5.995328202139e-01 
       1.538407990080e-05      -3.414923279749e-04      -2.561498935059e-04      -2.561498963692e-04      -3.414917828451e-04      -2.564162209825e-04       6.014628533333e-01       5.995328063663e-01 
       1.547289316329e-05      -3.454461373889e-04      -2.591159644183e-04      -2.591159673483e-04      -3.454455795622e-04      -2.593853743425e-04       6.014628353360e-01       5.995327922548e-01 
       1.556221915034e-05      -3.494457184438e-04      -2.621163806881e-04      -2.621163836864e-04      -3.494451476243e-04      -2.623889087186e-04       6.014628171197e-01       5.995327781635e-01 
       1.565206082194e-05      -3.534916009154e-04      -2.651515400351e-04      -2.651515431032e-04      -3.534910168009e-04      -2.654272222425e-04       6.014627987330e-01       5.995327638003e-01 
       1.574242115517e-05      -3.575843206553e-04      -2.682218447438e-04      -2.682218478834e-04      -3.575837229360e-04      -2.685007176159e-04       6.014627801270e-01       5.995327492497e-01 
       1.583330314430e-05      -3.617244197443e-04      -2.713277017806e-04      -2.713277049933e-04      -3.617238081036e-04      -2.716098022264e-04       6.014627613089e-01       5.995327345478e-01 
       1.592470980088e-05      -3.659124465889e-04      -2.744695228649e-04      -2.744695261524e-04      -3.659118207020e-04      -2.747548882203e-04       6.014627423882e-01       5.995327197208e-01 
       1.601664415384e-05      -3.701489557737e-04      -2.776477243600e-04      -2.776477277241e-04      -3.701483153093e-04      -2.779363923922e-04       6.014627231478e-01       5.995327047330e-01 
       1.610910924962e-05      -3.744345084118e-04      -2.808627275359e-04      -2.808627309784e-04      -3.744338530311e-04      -2.811547364485e-04       6.014627036537e-01       5.995326893201e-01 
       1.620210815222e-05      -3.787696721427e-04      -2.841149585656e-04      -2.841149620883e-04      -3.787690014970e-04      -2.844103470037e-04       6.014626839533e-01       5.995326738697e-01 
       1.629564394334e-05      -3.831550210818e-04      -2.874048484913e-04      -2.874048520960e-04      -3.831543348160e-04      -2.877036555466e-04       6.014626639692e-01       5.995326583033e-01 
       1.638971972248e-05      -3.875911361288e-04      -2.907328334535e-04      -2.907328371422e-04      -3.875904338793e-04      -2.910350986693e-04       6.014626438907e-01       5.995326428509e-01 
       1.648433860702e-05      -3.920786046382e-04      -2.940993544442e-04      -2.940993582188e-04      -3.920778860324e-04      -2.944051178206e-04       6.014626234127e-01       5.995326267616e-01 
       1.657950373234e-05      -3.966180210493e-04      -2.975048577805e-04      -2.975048616430e-04      -3.966172857063e-04      -2.978141597800e-04       6.014626027250e-01       5.995326106359e-01 
       1.667521825193e-05      -4.012099865807e-04      -3.009497948758e-04      -3.009497988283e-04      -4.012092341115e-04      -3.012626764285e-04       6.014625819128e-01       5.995325944036e-01 
       1.677148533746e-05      -4.058551092989e-04      -3.044346222897e-04      -3.044346263342e-04      -4.058543393038e-04      -3.047511247981e-04       6.014625608223e-01       5.995325779321e-01 
       1.686830817895e-05      -4.105540043651e-04      -3.079598019158e-04      -3.079598060546e-04      -4.105532164365e-04      -3.082799672613e-04       6.014625394190e-01       5.995325610257e-01 
       1.696568998480e-05      -4.153072941261e-04      -3.115258010485e-04      -3.115258052837e-04      -4.153064878457e-04      -3.118496715959e-04       6.014625178186e-01       5.995325441516e-01 
