# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=96.0791
# for k=2.10937e-07 to 223.611 h/Mpc,
# number of wavenumbers equal to 873
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       5.809688830071e-03      -2.485239812756e+00      -4.575008511610e+00      -4.614122224416e+00      -2.057053748385e-01      -2.386752046297e+00      -4.548051089806e+00       5.401946465201e-01       5.409549873941e-01      -1.094209408168e-03       4.402358692120e-03       4.413657136812e-03       4.413652366197e-03      -8.536564992674e-04       4.213807596524e-03 
       5.945013867143e-03      -2.445041480980e+00      -4.723470960762e+00      -4.766284829359e+00      -2.095748522466e-01      -2.351475510052e+00      -4.694377715683e+00       5.379021643727e-01       5.388492649846e-01      -1.154839222014e-03       4.594831691693e-03       4.607170947311e-03       4.607165733687e-03      -8.871410344642e-04       4.398262893020e-03 
       6.083491029259e-03      -2.401879034477e+00      -4.877914418285e+00      -4.924774986590e+00      -2.136013824095e-01      -2.314496933121e+00      -4.846736378372e+00       5.355724667666e-01       5.366869500818e-01      -1.207151474274e-03       4.795131448410e-03       4.808605608587e-03       4.808599911509e-03      -9.118365044585e-04       4.590646612149e-03 
       6.225193738844e-03      -2.356053840779e+00      -5.038543034709e+00      -5.089828822260e+00      -2.177907440124e-01      -2.276184133557e+00      -5.005360954750e+00       5.332068762049e-01       5.344682916760e-01      -1.249500987579e-03       5.003532794890e-03       5.018244260766e-03       5.018238036176e-03      -9.265682559194e-04       4.791283503116e-03 
       6.370197128549e-03      -2.307934530136e+00      -5.205565334037e+00      -5.261689708443e+00      -2.221489146436e-01      -2.236955203331e+00      -5.170493607042e+00       5.308067393442e-01       5.321936901471e-01      -1.280200034658e-03       5.220317636651e-03       5.236377827796e-03       5.236371027712e-03      -9.302212825074e-04       5.000505735740e-03 
       6.518578081091e-03      -2.257958821397e+00      -5.379194055899e+00      -5.440608372758e+00      -2.266820719549e-01      -2.197275521319e+00      -5.342384845220e+00       5.283733862590e-01       5.298636827750e-01      -1.297552735586e-03       5.445774884035e-03       5.463305012704e-03       5.463297584877e-03      -9.217812668886e-04       5.218651526839e-03 
       6.670415270016e-03      -2.206634090988e+00      -5.559646069854e+00      -5.626843073644e+00      -2.313966046151e-01      -2.157653080870e+00      -5.521293614522e+00       5.259081132430e-01       5.274789532893e-01      -1.299897239683e-03       5.680200618578e-03       5.699332525936e-03       5.699324413488e-03      -9.003809777069e-04       5.446063742590e-03 
       6.825789201409e-03      -2.154536154588e+00      -5.747142227456e+00      -5.820659746708e+00      -2.362991192473e-01      -2.118631705486e+00      -5.707487296580e+00       5.234121520577e-01       5.250403282254e-01      -1.285656055196e-03       5.923898167263e-03       5.944775229425e-03       5.944766370444e-03      -8.653514111220e-04       5.683088171030e-03 
       6.984782256588e-03      -2.102305961420e+00      -5.941907149257e+00      -6.022332119196e+00      -2.413964445688e-01      -2.080781991182e+00      -5.901241614580e+00       5.208866308816e-01       5.225487646077e-01      -1.253394680564e-03       6.177178104682e-03       6.199956216071e-03       6.199946543179e-03      -8.162767289981e-04       5.930071494589e-03 
       7.147478735773e-03      -2.050644031569e+00      -6.144169118857e+00      -6.232141922214e+00      -2.466956460617e-01      -2.044689986412e+00      -6.102840572218e+00       5.183325589633e-01       5.200053601443e-01      -1.201888502416e-03       6.440358543633e-03       6.465207176159e-03       6.465196616050e-03      -7.530517089587e-04       6.187359322648e-03 
