### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642703
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
  6.54525	6.86576e-05	3.06499e-05	 (32 , 32 , 32) 
   6.6363	6.9553e-05	3.03222e-05	 (32 , 32 , 32) 
  6.72582	7.03067e-05	2.99006e-05	 (32 , 32 , 32) 
  6.81369	7.09133e-05	2.93906e-05	 (32 , 32 , 32) 
   6.8998	7.13696e-05	2.87992e-05	 (32 , 32 , 32) 
  6.98405	7.1673e-05	2.81344e-05	 (32 , 32 , 32) 
  7.06634	7.18236e-05	2.74051e-05	 (32 , 32 , 32) 
  7.14661	7.18228e-05	2.66208e-05	 (32 , 32 , 32) 
   7.2248	7.16786e-05	2.57913e-05	 (32 , 32 , 32) 
  7.30085	7.13955e-05	2.49262e-05	 (32 , 32 , 32) 
  7.37475	7.09781e-05	2.40349e-05	 (32 , 32 , 32) 
  7.44647	7.04327e-05	2.31263e-05	 (32 , 32 , 32) 
  7.51601	6.97673e-05	2.22084e-05	 (32 , 32 , 32) 
  7.58335	6.89893e-05	2.12888e-05	 (32 , 32 , 32) 
  7.64853	6.81075e-05	2.0374e-05	 (32 , 32 , 32) 
  7.71154	6.7132e-05	1.94696e-05	 (32 , 32 , 32) 
  7.77243	6.6072e-05	1.85804e-05	 (32 , 32 , 32) 
  7.83122	6.49368e-05	1.77102e-05	 (32 , 32 , 32) 
  7.88795	6.37361e-05	1.68624e-05	 (32 , 32 , 32) 
  7.94267	6.24788e-05	1.60393e-05	 (32 , 32 , 32) 
  7.99541	6.11733e-05	1.5243e-05	 (32 , 32 , 32) 
  8.04623	5.98277e-05	1.44746e-05	 (32 , 32 , 32) 
  8.09517	5.84497e-05	1.37353e-05	 (32 , 32 , 32) 
   8.1423	5.70464e-05	1.30253e-05	 (32 , 32 , 32) 
  8.18766	5.56243e-05	1.23449e-05	 (32 , 32 , 32) 
  8.23131	5.41894e-05	1.16938e-05	 (32 , 32 , 32) 
  8.27329	5.27474e-05	1.10719e-05	 (32 , 32 , 32) 
  8.31367	5.13034e-05	1.04784e-05	 (32 , 32 , 32) 
   8.3525	4.9862e-05	9.91269e-06	 (32 , 32 , 32) 
  8.38983	4.84274e-05	9.37396e-06	 (32 , 32 , 32) 
  8.42571	4.70033e-05	8.86132e-06	 (32 , 32 , 32) 
  8.46019	4.55931e-05	8.37382e-06	 (32 , 32 , 32) 
  8.49333	4.41996e-05	7.91049e-06	 (32 , 32 , 32) 
  8.52517	4.28255e-05	7.47035e-06	 (32 , 32 , 32) 
  8.55576	4.14728e-05	7.05242e-06	 (32 , 32 , 32) 
  8.58515	4.01434e-05	6.65573e-06	 (32 , 32 , 32) 
  8.61338	3.8839e-05	6.27933e-06	 (32 , 32 , 32) 
   8.6405	3.75609e-05	5.9223e-06	 (32 , 32 , 32) 
  8.66654	3.63101e-05	5.58374e-06	 (32 , 32 , 32) 
  8.69156	3.50876e-05	5.26278e-06	 (32 , 32 , 32) 
  8.71558	3.38941e-05	4.95861e-06	 (32 , 32 , 32) 
  8.73865	3.27301e-05	4.67042e-06	 (32 , 32 , 32) 
   8.7608	3.15959e-05	4.39746e-06	 (32 , 32 , 32) 
  8.78207	3.04918e-05	4.13899e-06	 (32 , 32 , 32) 
   8.8025	2.9418e-05	3.89433e-06	 (32 , 32 , 32) 
  8.82211	2.83742e-05	3.6628e-06	 (32 , 32 , 32) 
  8.84094	2.73606e-05	3.44378e-06	 (32 , 32 , 32) 
  8.85902	2.63768e-05	3.23666e-06	 (32 , 32 , 32) 
  8.87638	2.54226e-05	3.04087e-06	 (32 , 32 , 32) 
  8.89305	2.44977e-05	2.85585e-06	 (32 , 32 , 32) 
  8.90906	2.36016e-05	2.68107e-06	 (32 , 32 , 32) 
  8.92442	2.2734e-05	2.51605e-06	 (32 , 32 , 32) 
