# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=96.0791
# for k=2.10937e-07 to 223.611 h/Mpc,
# number of wavenumbers equal to 873
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       9.538789278523e+00      -2.396846153355e-04      -8.115042684427e+02      -1.126571040631e+03      -2.883940953415e+01      -2.395617781052e-04      -1.047932195040e+03       5.989044452629e-05       5.989044452629e-05      -8.836691570329e-09       1.286972668653e+00       1.337653722287e+00       1.337653722287e+00      -8.640346618132e-09       1.281098197401e+00 
       9.760976223555e+00      -2.300166554462e-04      -8.154692254266e+02      -1.132082375253e+03      -2.898048281258e+01      -2.298987741433e-04      -1.053058061242e+03       5.747469353583e-05       5.747469353583e-05      -8.480754613144e-09       1.293255206861e+00       1.344197145505e+00       1.344197145505e+00      -8.292330952202e-09       1.287363034341e+00 
       9.988338567383e+00      -2.207338462875e-04      -8.194353858600e+02      -1.137595887176e+03      -2.912161175207e+01      -2.206207234867e-04      -1.058185897880e+03       5.515518087167e-05       5.515518087167e-05      -8.138996661436e-09       1.299539419961e+00       1.350743134465e+00       1.350743134465e+00      -7.958178740566e-09       1.293630210261e+00 
       1.022099686053e+01      -2.118210446278e-04      -8.234025723271e+02      -1.143111356901e+03      -2.926279083046e+01      -2.117124906659e-04      -1.063315497874e+03       5.292812266647e-05       5.292812266647e-05      -7.810861265459e-09       1.305825023845e+00       1.357291435175e+00       1.357291435175e+00      -7.637345940301e-09       1.299899475986e+00 
       1.045907446150e+01      -2.032634941155e-04      -8.273698122529e+02      -1.148627505664e+03      -2.940398593957e+01      -2.031593268930e-04      -1.068445663986e+03       5.078983172326e-05       5.078983172326e-05      -7.495803411639e-09       1.312110444872e+00       1.363840458914e+00       1.363840458914e+00      -7.329299626080e-09       1.306169303239e+00 
       1.070269760220e+01      -1.950474547846e-04      -8.313378654594e+02      -1.154145372338e+03      -2.954522519770e+01      -1.949474992454e-04      -1.073577364298e+03       4.873687481135e-05       4.873687481135e-05      -7.193320214423e-09       1.318396904700e+00       1.370391518515e+00       1.370391518515e+00      -7.033548170688e-09       1.312440943175e+00 
       1.095199545483e+01      -1.871596442715e-04      -8.353073404785e+02      -1.159665817156e+03      -2.968653068866e+01      -1.870637321673e-04      -1.078711397322e+03       4.676593304183e-05       4.676593304183e-05      -6.902920645807e-09       1.324685331447e+00       1.376945630422e+00       1.376945630422e+00      -6.749611426639e-09       1.318715361836e+00 
       1.120710020042e+01      -1.795868920968e-04      -8.392770395672e+02      -1.165187249058e+03      -2.982786084179e+01      -1.794948619306e-04      -1.083846275291e+03       4.487371548265e-05       4.487371548265e-05      -6.624121013066e-09       1.330973824618e+00       1.383500869596e+00       1.383500869596e+00      -6.477016492041e-09       1.324990708363e+00 
       1.146814709888e+01      -1.723168193082e-04      -8.432469939630e+02      -1.170709748097e+03      -2.996921747949e+01      -1.722285159281e-04      -1.088982068695e+03       4.305712898202e-05       4.305712898202e-05      -6.356464787122e-09       1.337262408210e+00       1.390057316467e+00       1.390057316467e+00      -6.215316978995e-09       1.331267051827e+00 
       1.173527456073e+01      -1.653377469840e-04      -8.472183621448e+02      -1.176234905017e+03      -3.011064289498e+01      -1.652530212248e-04      -1.094120259134e+03       4.131325530620e-05       4.131325530620e-05      -6.099523502321e-09       1.343552921512e+00       1.396616937584e+00       1.396616937584e+00      -5.964093990888e-09       1.337546267772e+00 
       1.200862422048e+01      -1.586379294459e-04      -8.511897374928e+02      -1.181760870825e+03      -3.025208770380e+01      -1.585566381626e-04      -1.099259115442e+03       3.963915954065e-05       3.963915954065e-05      -5.852862744556e-09       1.349843090899e+00       1.403177433006e+00       1.403177433006e+00      -5.722922735326e-09       1.343826144431e+00 
       1.228834101175e+01      -1.522063101650e-04      -8.551607880543e+02      -1.187287230332e+03      -3.039354128594e+01      -1.521283158803e-04      -1.104398246466e+03       3.803207897008e-05       3.803207897008e-05      -5.616076587050e-09       1.356132386674e+00       1.409738313495e+00       1.409738313495e+00      -5.491406344495e-09       1.350106204459e+00 
