# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05469e-05 to 1.07987 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       2.649249593155e-04      -2.673875058863e+00      -2.181483481430e+00      -2.181496139282e+00      -1.468276161070e-01      -2.667682848793e+00      -7.819687680262e-01       4.782764806667e-01       4.781917829861e-01       2.801742609603e-05       7.367626343541e-05       7.367705518768e-05       6.581432050294e-05       2.729173095028e-05       7.224249230233e-05 
       3.335207635008e-04      -2.852420975099e+00      -2.545294881585e+00      -2.545325789999e+00      -1.419748561072e-01      -2.839246371369e+00      -8.921775787602e-01       4.769973491129e-01       4.769373120186e-01       1.618782262026e-05       1.166446057150e-04       1.166465024843e-04       9.773866835085e-05       1.493694520032e-05       1.131998142020e-04 
       4.198777645321e-04      -2.969892038017e+00      -3.120660954726e+00      -3.120735311893e+00      -1.348434285596e-01      -2.944680097174e+00      -1.066834644817e+00       4.751404251532e-01       4.751092082450e-01      -2.054198169798e-05       1.845739465355e-04       1.845783766549e-04       1.401811377045e-04      -2.196924111397e-05       1.764953249048e-04 
       5.285947876168e-04      -2.925589530879e+00      -4.029718747600e+00      -4.029893188946e+00      -1.248377277621e-01      -2.885510761449e+00      -1.343641802662e+00       4.725661169761e-01       4.725618037000e-01      -8.309653094681e-05       2.918486054676e-04       2.918585758643e-04       1.912226596065e-04      -8.252377141440e-05       2.735659791395e-04 
       6.654614106728e-04      -2.695536522960e+00      -5.464234657256e+00      -5.464629549323e+00      -1.118151547205e-01      -2.651074721883e+00      -1.782356027792e+00       4.692246758286e-01       4.692354696318e-01      -1.323599557548e-04       4.610392958928e-04       4.610606208762e-04       2.440131586043e-04      -1.247937319654e-04       4.216778115690e-04 
       8.377662804643e-04      -2.496494870340e+00      -7.724766562353e+00      -7.725617001732e+00      -9.676062118466e-02      -2.478499763733e+00      -2.477493608422e+00       4.652400021684e-01       4.652489428235e-01      -1.118213273243e-04       7.275235092728e-04       7.275662911790e-04       2.885852267985e-04      -9.619243135013e-05       6.480299455385e-04 
       1.054685259621e-03      -2.515784276651e+00      -1.128171331487e+01      -1.128342632474e+01      -8.208768556686e-02      -2.532670532885e+00      -3.577562538244e+00       4.608815405081e-01       4.608835050165e-01      -1.145942178334e-04       1.146714225920e-03       1.146794132437e-03       3.199351592905e-04      -1.099594518468e-04       9.970799128430e-04 
       1.327770074781e-03      -2.362603043120e+00      -1.686965491138e+01      -1.687282498980e+01      -7.020344835941e-02      -2.353645587399e+00      -5.313452412730e+00       4.563406295282e-01       4.563434131541e-01      -1.997136042887e-04       1.805201202489e-03       1.805339797170e-03       3.412664520074e-04      -2.125321159303e-04       1.540320023382e-03 
       1.671563488162e-03      -2.294911334814e+00      -2.562911253123e+01      -2.563446784387e+01      -6.141122902512e-02      -2.275836835225e+00      -8.041328808248e+00       4.515122925351e-01       4.515134051665e-01      -1.586610647012e-04       2.837356044979e-03       2.837578978598e-03       3.540890232259e-04      -1.470939317253e-04       2.388164958471e-03 
       2.104373752675e-03      -2.105095812299e+00      -3.931648622563e+01      -3.932498136380e+01      -5.511503084175e-02      -2.110576229731e+00      -1.230890091485e+01       4.460796361121e-01       4.460808613631e-01      -2.179625521904e-04       4.449996877900e-03       4.450336829912e-03       3.607307332476e-04      -2.182465189021e-04       3.710365089752e-03 
