# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5.80813
# for k=1.05469e-05 to 226.999 h/Mpc,
# number of wavenumbers equal to 388
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       1.054685259621e-04      -1.625408255743e+00      -1.219218862970e+00      -1.219218907643e+00      -1.205577907625e-01      -1.625401806338e+00      -1.206568841549e+00       5.997115170290e-01       5.985074169428e-01       6.033979889527e-06       6.141058996105e-06       6.141097246475e-06       6.141097216433e-06       6.029031472926e-06       6.140801434457e-06 
       1.104391044557e-04      -1.627755176793e+00      -1.221011872339e+00      -1.221011926030e+00      -1.206055517379e-01      -1.627747428390e+00      -1.208341582698e+00       5.997040386152e-01       5.985014407611e-01       6.604822165356e-06       6.733477010654e-06       6.733522978396e-06       6.733522942160e-06       6.598877802240e-06       6.733167561829e-06 
       1.156439390968e-04      -1.630327202084e+00      -1.222980323392e+00      -1.222980387646e+00      -1.206579455482e-01      -1.630317895516e+00      -1.210287773101e+00       5.996950110470e-01       5.984940589647e-01       7.228457233372e-06       7.383033419401e-06       7.383088654060e-06       7.383088610355e-06       7.221317171813e-06       7.382661629572e-06 
       1.210940700373e-04      -1.633139535579e+00      -1.225136951011e+00      -1.225137030447e+00      -1.207154284834e-01      -1.633128340365e+00      -1.212420005034e+00       5.996856785684e-01       5.984865296145e-01       7.909538503301e-06       8.095244755258e-06       8.095311154768e-06       8.095311102056e-06       7.900960551102e-06       8.094798125507e-06 
       1.268010577357e-04      -1.636215824698e+00      -1.227501078495e+00      -1.227501172464e+00      -1.207784028258e-01      -1.636202387735e+00      -1.214757374279e+00       5.996756256829e-01       5.984784502449e-01       8.653071163356e-06       8.876153316839e-06       8.876233068060e-06       8.876233004531e-06       8.642770822533e-06       8.875616790990e-06 
       1.327770074781e-04      -1.639581401407e+00      -1.230093631718e+00      -1.230093743987e+00      -1.208474904908e-01      -1.639565267559e+00      -1.217320570067e+00       5.996644733542e-01       5.984694595734e-01       9.464415278567e-06       9.732379673613e-06       9.732475479903e-06       9.732475403341e-06       9.452046783322e-06       9.731735216117e-06 
       1.390345950551e-04      -1.643261146126e+00      -1.232935554048e+00      -1.232935688903e+00      -1.209231733729e-01      -1.643241770731e+00      -1.220130293609e+00       5.996524789569e-01       5.984598316243e-01       1.034934521599e-05       1.067118911277e-05       1.067130420221e-05       1.067130410997e-05       1.033449444562e-05       1.067041509587e-05 
       1.455870936489e-04      -1.647285771626e+00      -1.236052662021e+00      -1.236052823528e+00      -1.210061587328e-01      -1.647262508921e+00      -1.223212063744e+00       5.996389699099e-01       5.984489138529e-01       1.131400522873e-05       1.170053766665e-05       1.170067592813e-05       1.170067581703e-05       1.129617630263e-05       1.169960811826e-05 
       1.524484019875e-04      -1.651680007752e+00      -1.239466704491e+00      -1.239466898353e+00      -1.210972846516e-01      -1.651652080555e+00      -1.226587379973e+00       5.996254054912e-01       5.984381817054e-01       1.236504871132e-05       1.282917586431e-05       1.282934193297e-05       1.282934179917e-05       1.234364891510e-05       1.282805976570e-05 
       1.596330738259e-04      -1.656489373001e+00      -1.243215965094e+00      -1.243216198018e+00      -1.211970793584e-01      -1.656455844610e+00      -1.230294078925e+00       5.996085444624e-01       5.984244251718e-01       1.350932442535e-05       1.406663203946e-05       1.406683150425e-05       1.406683134311e-05       1.348363922974e-05       1.406529192594e-05 
