# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05469e-05 to 239.653 h/Mpc,
# number of wavenumbers equal to 199
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       8.004538373371e-02      -3.387531721436e-01      -9.932727591802e+03      -9.972901397521e+03      -1.952157331045e+02      -3.380298229482e-01      -3.244346859819e+03       8.450745573705e-02       8.450745573705e-02      -4.409525934419e-05       1.186181887043e+00       1.186319308417e+00       1.168520138451e+00      -4.384152254121e-05       1.182707383428e+00 
       8.307495976188e-02      -3.230046032464e-01      -1.019834607220e+04      -1.024390317768e+04      -2.003187422182e+02      -3.223148569875e-01      -3.332162185523e+03       8.057871424687e-02       8.057871424687e-02      -4.205626314470e-05       1.218317089728e+00       1.218468338720e+00       1.198790041927e+00      -4.181430961571e-05       1.214505046716e+00 
       8.615566873787e-02      -3.075020611437e-01      -1.043831441512e+04      -1.049009501639e+04      -2.049108998311e+02      -3.068454043069e-01      -3.411843710209e+03       7.671135107673e-02       7.671135107673e-02      -4.004983279304e-05       1.247489472381e+00       1.247655331888e+00       1.225998904642e+00      -3.981948426009e-05       1.243323647637e+00 
       8.929571346181e-02      -2.924634519365e-01      -1.066045771230e+04      -1.071892530989e+04      -2.091365526136e+02      -2.918388915630e-01      -3.485833152438e+03       7.295972289074e-02       7.295972289074e-02      -3.810298442622e-05       1.274577808424e+00       1.274759046428e+00       1.251007152925e+00      -3.788389221701e-05       1.270038354522e+00 
       9.250260988308e-02      -2.781134431377e-01      -1.087455112294e+04      -1.093962223843e+04      -2.131828970155e+02      -2.775195104524e-01      -3.557165300635e+03       6.937987761310e-02       6.937987761310e-02      -3.624547889335e-05       1.300696291050e+00       1.300891460662e+00       1.274901002120e+00      -3.603712804277e-05       1.295756417745e+00 
       9.578336594046e-02      -2.647121315931e-01      -1.109430129359e+04      -1.116529632477e+04      -2.173078755901e+02      -2.641468002175e-01      -3.630137449020e+03       6.603670005438e-02       6.603670005438e-02      -3.451110973073e-05       1.327437193265e+00       1.327643394290e+00       1.299227602437e+00      -3.431278933099e-05       1.322060445664e+00 
       9.914461468725e-02      -2.524304377288e-01      -1.133309194817e+04      -1.140875540677e+04      -2.217536903966e+02      -2.518913160449e-01      -3.708940635890e+03       6.297282901123e-02       6.297282901123e-02      -3.292224138462e-05       1.356300000188e+00       1.356513719614e+00       1.325434507021e+00      -3.273311236701e-05       1.350439640988e+00 
       1.025927145257e-01      -2.414066729808e-01      -1.160460470556e+04      -1.168333853961e+04      -2.267811703684e+02      -2.408910746883e-01      -3.797933212808e+03       6.022276867207e-02       6.022276867207e-02      -3.149699050673e-05       1.388913554043e+00       1.389134824872e+00       1.355088248849e+00      -3.131611053666e-05       1.382513527829e+00 
       1.061338253666e-01      -2.316637513720e-01      -1.192011781370e+04      -1.199984504205e+04      -2.325904001804e+02      -2.311689372444e-01      -3.900645815970e+03       5.779223431111e-02       5.779223431111e-02      -3.023825642510e-05       1.426528424617e+00       1.426753240272e+00       1.389366028982e+00      -3.006466397681e-05       1.419516230089e+00 
       1.097739668815e-01      -2.231386569444e-01      -1.228637094213e+04      -1.236481412273e+04      -2.393098170360e+02      -2.226620259491e-01      -4.019217004176e+03       5.566550648727e-02       5.566550648727e-02      -2.913841417653e-05       1.469980932995e+00       1.470201945381e+00       1.429032330231e+00      -2.897119676886e-05       1.462268515551e+00 
       1.135190632435e-01      -2.156370946920e-01      -1.270289697301e+04      -1.277819741698e+04      -2.469267831601e+02      -2.151764633722e-01      -4.153602776872e+03       5.379411584306e-02       5.379411584306e-02      -2.817231361352e-05       1.519223831910e+00       1.519440404423e+00       1.473992563659e+00      -2.801070566439e-05       1.510719250968e+00 
       1.173749775506e-01      -2.088878126899e-01      -1.316279172101e+04      -1.323330591775e+04      -2.552994180883e+02      -2.084415672288e-01      -4.301607873622e+03       5.211039180720e-02       5.211039180720e-02      -2.730395580808e-05       1.573459466835e+00       1.573662406396e+00       1.523400491985e+00      -2.714739005520e-05       1.564056341058e+00 
       1.213475383070e-01      -2.025448662080e-01      -1.364899507402e+04      -1.371462628436e+04      -2.641195283469e+02      -2.021121436684e-01      -4.458104751683e+03       5.052803591709e-02       5.052803591709e-02      -2.648886779768e-05       1.630805478772e+00       1.631005717287e+00       1.575397863537e+00      -2.633704227898e-05       1.620416318095e+00 
       1.254425597737e-01      -1.962493281435e-01      -1.413920542614e+04      -1.420038620514e+04      -2.729584068842e+02      -1.958300274651e-01      -4.615979003399e+03       4.895750686627e-02       4.895750686627e-02      -2.568001923319e-05       1.688675038560e+00       1.688869137229e+00       1.627421598227e+00      -2.553289852561e-05       1.677207520921e+00 
       1.296658576113e-01      -1.896747640463e-01      -1.460644776426e+04      -1.466486466934e+04      -2.813154881374e+02      -1.892694811252e-01      -4.766799630735e+03       4.731737028131e-02       4.731737028131e-02      -2.483449518070e-05       1.743975099332e+00       1.744164398183e+00       1.676458306291e+00      -2.469228832620e-05       1.731355587022e+00 
       1.340232609726e-01      -1.826021729209e-01      -1.502532092144e+04      -1.508400644323e+04      -2.887126347304e+02      -1.822119760849e-01      -4.902666424347e+03       4.555299402122e-02       4.555299402122e-02      -2.392370316597e-05       1.793803257870e+00       1.794000289142e+00       1.719716695140e+00      -2.378678567663e-05       1.779986856291e+00 
       1.385206220229e-01      -1.749449438327e-01      -1.537729048826e+04      -1.543946284933e+04      -2.948110271945e+02      -1.745710832878e-01      -5.017611724092e+03       4.364277082195e-02       4.364277082195e-02      -2.293600221251e-05       1.835985319353e+00       1.836192414184e+00       1.755108159170e+00      -2.280481292003e-05       1.820936222545e+00 
       1.431638237421e-01      -1.668131155051e-01      -1.565865480006e+04      -1.572759423234e+04      -2.995368242981e+02      -1.664566075973e-01      -5.110446003715e+03       4.161415189932e-02       4.161415189932e-02      -2.188563854235e-05       1.870106973775e+00       1.870330537194e+00       1.782265471583e+00      -2.176053441843e-05       1.853800830918e+00 
       1.479587867889e-01      -1.584356561904e-01      -1.587981209146e+04      -1.595799611971e+04      -3.030846489916e+02      -1.580970282806e-01      -5.184336134691e+03       3.952425707014e-02       3.952425707014e-02      -2.080249534310e-05       1.897295499760e+00       1.897541021046e+00       1.802291917889e+00      -2.068366182320e-05       1.879702632017e+00 
       1.529114761562e-01      -1.501856750559e-01      -1.607176678678e+04      -1.615997598101e+04      -3.060118610015e+02      -1.498646530678e-01      -5.248892705718e+03       3.746616326696e-02       3.746616326696e-02      -1.973517047560e-05       1.921080860314e+00       1.921346815753e+00       1.818542120680e+00      -1.962251112657e-05       1.902133940535e+00 
       1.580279083181e-01      -1.424414454454e-01      -1.627573070000e+04      -1.637278673305e+04      -3.090673320817e+02      -1.421369493729e-01      -5.316974122509e+03       3.553423734323e-02       3.553423734323e-02      -1.873361645930e-05       1.946166453398e+00       1.946448654828e+00       1.835452916978e+00      -1.862675242652e-05       1.925746669497e+00 
       1.633141595536e-01      -1.355301020496e-01      -1.653768827777e+04      -1.664077737931e+04      -3.130882075905e+02      -1.352403533430e-01      -5.403074109797e+03       3.381008833576e-02       3.381008833576e-02      -1.784101393704e-05       1.977879776752e+00       1.978177753946e+00       1.857976206656e+00      -1.773932132985e-05       1.955801362576e+00 
       1.687763761271e-01      -1.296105957850e-01      -1.689409457719e+04      -1.699867023259e+04      -3.187020504481e+02      -1.293334713073e-01      -5.518542954701e+03       3.233336782682e-02       3.233336782682e-02      -1.707825699057e-05       2.020360674662e+00       2.020660742707e+00       1.889846420084e+00      -1.698099023347e-05       1.996354183338e+00 
       1.744207869996e-01      -1.246213303557e-01      -1.735584985061e+04      -1.745730627264e+04      -3.261025030178e+02      -1.243548422118e-01      -5.666899603042e+03       3.108871055296e-02       3.108871055296e-02      -1.643786164339e-05       2.074937782351e+00       2.075226657238e+00       1.932120498836e+00      -1.634432318273e-05       2.048684560530e+00 
       1.802537197480e-01      -1.202918034603e-01      -1.790270962317e+04      -1.799820031567e+04      -3.348933244906e+02      -1.200345402759e-01      -5.842018336198e+03       3.000863506896e-02       3.000863506896e-02      -1.588411080541e-05       2.139325244371e+00       2.139605263561e+00       1.982464311794e+00      -1.579380514885e-05       2.110509471549e+00 
       1.862816203722e-01      -1.162452710464e-01      -1.848794068934e+04      -1.857693385674e+04      -3.442278065810e+02      -1.159966292631e-01      -6.029344372362e+03       2.899915731578e-02       2.899915731578e-02      -1.536765148261e-05       2.208232662920e+00       2.208505760114e+00       2.035790861459e+00      -1.528036702765e-05       2.176576662994e+00 
       1.925110776767e-01      -1.120553803112e-01      -1.904280021567e+04      -1.912744672040e+04      -3.528397485840e+02      -1.118156661628e-01      -6.207263415154e+03       2.795391654070e-02       2.795391654070e-02      -1.483194955576e-05       2.273713924538e+00       2.273979353207e+00       2.084652972196e+00      -1.474779374153e-05       2.239030804766e+00 
       1.989488529230e-01      -1.074263197471e-01      -1.950255820679e+04      -1.958768087480e+04      -3.595900824367e+02      -1.071964746200e-01      -6.355497987421e+03       2.679911865500e-02       2.679911865500e-02      -1.423775061295e-05       2.328353317738e+00       2.328622190997e+00       2.122263102690e+00      -1.415705422537e-05       2.290580200434e+00 
       2.056019154738e-01      -1.023292974762e-01      -1.984052604914e+04      -1.993177354892e+04      -3.640109652429e+02      -1.021103255689e-01      -6.465616033704e+03       2.552758139223e-02       2.552758139223e-02      -1.358096145139e-05       2.369045584847e+00       2.369334747887e+00       2.145897332295e+00      -1.350407751838e-05       2.328193412789e+00 
       2.124774851805e-01      -9.700997583210e-02      -2.008546469845e+04      -2.018622417789e+04      -3.666076874316e+02      -9.680235357617e-02      -6.546343344724e+03       2.420058839404e-02       2.420058839404e-02      -1.289380527635e-05       2.399001083572e+00       2.399304740728e+00       2.158584353673e+00      -1.282090119472e-05       2.355031291143e+00 
       2.195830823236e-01      -9.185489690803e-02      -2.030795550838e+04      -2.041924463590e+04      -3.686439087515e+02      -9.165827590236e-02      -6.619948779337e+03       2.291456897559e-02       2.291456897559e-02      -1.222754010190e-05       2.426377503273e+00       2.426711304985e+00       2.167754749709e+00      -1.215849402119e-05       2.379132468217e+00 
       2.269265859981e-01      -8.719691121436e-02      -2.058970654597e+04      -2.070771906743e+04      -3.715034334224e+02      -8.701022678974e-02      -6.711608476394e+03       2.175255669743e-02       2.175255669743e-02      -1.162643762414e-05       2.460421695585e+00       2.460764777925e+00       2.181540955409e+00      -1.156087557619e-05       2.409514324252e+00 
       2.345163019561e-01      -8.321413190148e-02      -2.099180579735e+04      -2.111114741741e+04      -3.762199051118e+02      -8.303593942106e-02      -6.840676827790e+03       2.075898485527e-02       2.075898485527e-02      -1.111454100208e-05       2.508223030223e+00       2.508569925417e+00       2.205978782668e+00      -1.105195579023e-05       2.453084381174e+00 
       2.423610410938e-01      -7.983648064479e-02      -2.152115003174e+04      -2.163673048582e+04      -3.828652665716e+02      -7.966548495495e-02      -7.009435624360e+03       1.991637123874e-02       1.991637123874e-02      -1.068285661402e-05       2.570641330857e+00       2.570981697800e+00       2.241416912780e+00      -1.062279345282e-05       2.510606519204e+00 
       2.504702100020e-01      -7.675959336204e-02      -2.211287825766e+04      -2.222314237354e+04      -3.902868124526e+02      -7.659515176133e-02      -7.197784799605e+03       1.914878794033e-02       1.914878794033e-02      -1.029095679975e-05       2.640307801169e+00       2.640642300345e+00       2.281044826041e+00      -1.023319016821e-05       2.574822727741e+00 
       2.588539153201e-01      -7.362424898095e-02      -2.266476555467e+04      -2.277221123208e+04      -3.967159948592e+02      -7.346648708577e-02      -7.373678032762e+03       1.836662177144e-02       1.836662177144e-02      -9.890641628532e-06       2.705467335824e+00       2.705796703833e+00       2.314470704054e+00      -9.835215714333e-06       2.634227884709e+00 
       2.675230840551e-01      -7.023867826683e-02      -2.310172099835e+04      -2.321209000128e+04      -4.008947374146e+02      -7.008813449695e-02      -7.513673748782e+03       1.752203362424e-02       1.752203362424e-02      -9.456015404863e-06       2.757503139805e+00       2.757842821549e+00       2.334398168501e+00      -9.403119717855e-06       2.680456561893e+00 
       2.764896025829e-01      -6.666071259121e-02      -2.342211918670e+04      -2.354022594775e+04      -4.028065265139e+02      -6.651780104743e-02      -7.617008785472e+03       1.662945026186e-02       1.662945026186e-02      -8.994519185360e-06       2.796118819944e+00       2.796477766395e+00       2.340784481211e+00      -8.944299496756e-06       2.713253765522e+00 
